country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
MNA,,,,,,,,,,,28.6567499288503,,,,,25.792456607894,,24.9211742287473,,,23.5328327240979,,,,,21.664174722606,,,,,20.1570839935635,19.8970103557551,19.6166211308623,
MNE,,,,,,,,,,,38.6,,,,,36.7,,36.1,,,35.2,,,,,33.7,,,,,32.4,32.3,32.0,
MNG,,,,,,,,,,,33.2,,,,,32.2,,31.8,,,31.3,,,,,30.5,,,,,30.0,29.6,29.5,
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,,,22.0,,,,,18.1,,16.7,,,14.8,,,,,12.3,,,,,10.2,9.8,9.5,
MUS,,,,,,,,,,,25.4,,,,,24.1,,23.7,,,23.0,,,,,22.1,,,,,21.3,21.1,20.9,
MWI,,,,,,,,,,,24.1,,,,,19.4,,17.9,,,15.8,,,,,12.9,,,,,10.5,10.1,9.7,
MYS,,,,,,,,,,,30.8,,,,,28.2,,27.2,,,26.0,,,,,24.0,,,,,22.6,22.2,22.0,
NAC,,,,,,,,,,,31.2192292610987,,,,,28.9820626139999,,28.2479914808508,,,27.018467756297,,,,,25.2169570201822,,,,,23.6418491779816,23.4072107295874,22.9833033968728,
NAM,,,,,,,,,,,26.5,,,,,22.6,,21.2,,,19.4,,,,,16.9,,,,,14.9,14.5,14.1,
NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,,,,,,,,,,,9.7,,,,,9.1,,8.9,,,8.6,,,,,8.1,,,,,7.8,7.7,7.7,
NGA,,,,,,,,,,,10.7,,,,,8.1,,7.2,,,6.1,,,,,4.7,,,,,3.6,3.4,3.3,
NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,,,,,,,,,34.5,,,,,30.7,,29.5,,,27.7,,,,,24.7,,,,,22.2,21.7,21.3,
NOR,,,,,,,,,,,44.9,,,,,34.6,,31.2,,,26.6,,,,,20.5,,,,,15.8,15.0,14.2,
NPL,,,,,,,,,,,64.7,,,,,54.5,,49.9,,,44.0,,,,,36.3,,,,,30.3,29.4,28.3,
NRU,,,,,,,,,,,63.6,,,,,59.6,,57.8,,,55.6,,,,,52.6,,,,,49.4,48.9,48.3,
NZL,,,,,,,,,,,30.4,,,,,24.8,,22.7,,,20.1,,,,,16.4,,,,,13.3,12.8,12.2,
OED,,,,,,,,,,,32.5585448121007,,,,,29.5143238380688,,28.4597705121923,,,26.913686654819,,,,,24.6360972686237,,,,,22.7024100432034,22.3526609785187,21.9838199321139,
OMN,,,,,,,,,,,7.5,,,,,7.7,,7.7,,,7.9,,,,,8.1,,,,,8.3,8.4,8.4,
OSS,,,,,,,,,,,35.1089232569603,,,,,31.6976641443442,,30.566347714489,,,28.89520623859,,,,,26.6273454892606,,,,,24.7114397054688,24.3440081509607,23.9709006723163,
PAK,,,,,,,,,,,39.3,,,,,33.1,,31.1,,,28.0,,,,,23.7,,,,,20.2,19.5,18.9,
PAN,,,,,,,,,,,14.1,,,,,11.1,,10.1,,,8.8,,,,,7.1,,,,,5.6,5.4,5.2,
PER,,,,,,,,,,,34.7,,,,,24.0,,20.7,,,16.7,,,,,11.7,,,,,8.2,7.6,7.1,
PHL,,,,,,,,,,,36.5,,,,,31.7,,30.1,,,27.7,,,,,24.4,,,,,21.6,20.9,20.4,
PLW,,,,,,,,,,,26.2,,,,,23.6,,22.7,,,21.5,,,,,19.6,,,,,18.0,17.7,17.3,
PNG,,,,,,,,,,,53.8,,,,,50.2,,48.7,,,46.6,,,,,43.5,,,,,40.7,40.2,39.6,
POL,,,,,,,,,,,38.9,,,,,34.6,,33.0,,,30.9,,,,,27.6,,,,,24.5,24.0,23.6,
PRE,,,,,,,,,,,20.4106740335646,,,,,16.8866546622024,,15.6889885083402,,,14.1689695736691,,,,,12.1213748972357,,,,,10.4691951020737,10.1763561401233,9.92154663471949,
PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,,,,,,,,,,,29.5,,,,,25.8,,24.5,,,22.7,,,,,19.8,,,,,17.4,17.0,16.5,
PRT,,,,,,,,,,,26.0,,,,,25.7,,25.7,,,25.5,,,,,25.5,,,,,25.6,25.6,25.6,
PRY,,,,,,,,,,,29.4,,,,,23.2,,21.1,,,18.4,,,,,14.6,,,,,11.7,11.2,10.7,
PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS,,,,,,,,,,,38.144618706535,,,,,36.0970306074671,,35.2625436980435,,,34.268691932453,,,,,32.7691644437239,,,,,31.5634112735411,31.3752591451696,31.1083177938967,
PST,,,,,,,,,,,33.9376160363156,,,,,30.7669894314853,,29.658370747207,,,28.0310876668168,,,,,25.636177254583,,,,,23.6131329273475,23.2444713593994,22.843063234021,
PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,,,,,,,,,,,12.9,,,,,12.7,,12.6,,,12.5,,,,,12.5,,,,,12.5,12.5,12.5,
ROU,,,,,,,,,,,36.9,,,,,35.3,,34.6,,,33.6,,,,,32.0,,,,,30.7,30.3,30.0,
RUS,,,,,,,,,,,32.7,,,,,31.6,,31.4,,,30.8,,,,,30.0,,,,,29.4,29.3,29.2,
RWA,,,,,,,,,,,24.4,,,,,21.2,,20.1,,,18.6,,,,,16.6,,,,,14.9,14.6,14.3,
